gene_symbol, MAE(T/F), tissue, organism
gdap1l1, NA, B_Cell,mouse
gdap1l1, NA, B_Cell,mouse
gdap1l1, NA, B_Cell,mouse
prmt2, NA, B_Cell,mouse
prmt2, NA, B_Cell,mouse
prmt2, 0, B_Cell,mouse
prmt2, 0, B_Cell,mouse
prmt2, NA, B_Cell,mouse
prmt2, NA, B_Cell,human
prmt2, NA, B_Cell,human
cbr1, 1, B_Cell,mouse
cbr1, NA, B_Cell,mouse
cbr1, 1, B_Cell,mouse
cbr1, 1, B_Cell,mouse
cbr1, NA, B_Cell,mouse
arvcf, 1, B_Cell,mouse
arvcf, 1, B_Cell,mouse
arvcf, 1, B_Cell,mouse
arvcf, NA, B_Cell,mouse
arvcf, NA, B_Cell,mouse
arvcf, NA, B_Cell,human
arvcf, NA, B_Cell,human
nhp2l1, NA, B_Cell,mouse
nhp2l1, NA, B_Cell,mouse
nhp2l1, NA, B_Cell,mouse
nhp2l1, NA, B_Cell,mouse
nhp2l1, NA, B_Cell,mouse
nhp2l1, 1, B_Cell,human
nhp2l1, NA, B_Cell,human
slc9a7, NA, B_Cell,mouse
slc9a7, NA, B_Cell,mouse
slc9a7, 1, B_Cell,mouse
slc9a7, 1, B_Cell,mouse
slc9a7, NA, B_Cell,mouse
